"phrase","definition","conjugation_overrides","manual_overrides","synonyms","notes"
"querer","want,love","e:ie,r_only,e_and_o","{""conjugation_stems"":{""past"":""quis""}}"
"quitarse","take off (clothing),remove oneself,withdraw"
"raer","scrape,rub off,erase,wipe out","go"
"realizar","realize,carry out,fulfill"
"recibir","receive,get"
"re-coger","pick (up),gather,harvest"
"recomendar","recommend,commend,advise","e:ie"
"re-conocer","recognize,acknowledge,be grateful for"
"recordar","remember,recall,remind","o:ue"
"referir","refer,relate","e:ie"
"regalar","give as a present,make a present of,give as a gift"
"regar","water,irrigate,sprinkle","e:ie"
"regresar","return,go back,regress"
"reír","laugh","e:i",,"should really be e:í"
"reírse","laugh at"
"rellenar","refill,fill again,stuff"
"remitir","remit,forward,transmit"
"reñir","scold,quarrel","e:i"
"reparar","mend,repair,notice,observe"
"repartir","distribute,deal cards"
"repetir","repeat","e:i"
"resolver","resolve","o:ue,pp_olver"
"responder","answer,reply,respond"
"retirar","retire,withdraw"
"retrasar","delay,retard"
"reunirse","assemble,get together,meet,gather"
"reunir","gather","-u:ú_past_3rd,u:ú",,"unir does not have accented u need to fix pres sub nos - should not have accent"
"re-volver","revolve,turn around,turn over,turn upside down"
"robar","rob,steal"
"rogar","supplicate,ask for,request,beg,pray","o:ue"
"romper","break,shatter,tear","pa_to","{""conjugation_stems"":{""past_participle"":""ro""}}"
"saber","know","r_only,e_and_o","{""conjugation_stems"":{""past"":""sup"",""present_subjective"":""sep""},""conjugations"":{""present"":[""sé""]}}"
"sacar","take out,get"
"sacudir","shake,jerk,jolt"
"salir","go out,leave","go,e2d,imp_inf_stem_only"
"saltar","jump,leap,hop,spring"
"saludar","greet,salute"
"satisfacer","satisfy","go,e_and_o,pp_acer","{""conjugation_stems"":{""past"":""satisfic"",""future_cond"":""satisfar""}}"
"secar","dry,wipe dry"
"secarse","dry oneself"
"seguir","follow,pursue,continue","e:i"
"señalar","signal,indicate,point out,show"
"sentarse","sit down","e:ie"
"sentir","feel sorry,regret,feel","e:ie"
"sentirse","feel well (or ill)"
"separar","separate,detach,sort,set apart"
"ser", "be", "oy,yendo,unaccent_present_past", "{""conjugation_stems"":{""present"":""s"",""incomplete_past"":[""er"", ""er"", ""er"", ""ér"", ""er"", ""er""],""past"":""fu"",""present_subjective"":""se""},""conjugation_endings"":{""present"":[null,""as"",""a"",""amos"",""ais"",""an""],""incomplete_past"":[""a"",""as"",""a"",""amos"",""ais"",""an""], ""past"":[null,null,""e"",null,null,""eron""]},""conjugations"":{""present"":[null, ""eres"", ""es"", ""somos"", ""sois"", ""son""], ""imperative_positive"":[null,""sé"",null,null,null,null]}}"
"servir","serve","e:i"
"socorrer","help,aid,assist,succor"
"sofocar","choke,smother,suffocate,stifle"
"soler","be accustomed to,be in the habit of,have the custom of","o:ue,defective",,,"no future, conditional or imperative"
"sollozar","sob,whimper"
"someter","subdue,subject,surrender,submit"
"sonar","ring,echo,resound,sound","o:ue"
"soñar","dream","o:ue"
"son-reír","smile"
"soplar","blow,blow out"
"sorprender","surprise,astonish"
"sospechar","suspect"
"sos-tener","sustain,support,maintain,uphold",,,,"no accent in second person imperative positive <<<<<<<<"
"subir","go up,come up,climb,rise,mount,get on (a train,bus,etc.)"
"subrayar","underline,underscore,emphasize"
"subscribir","subscribe,agree to,sign"
"suceder","happen","3rd_only"
"sufrir","suffer,endure,bear up,undergo"
"sugerir","hint,insinuate,suggest","e:ie"
"sumergir","submerge,plunge,immerse,sink"
"su-poner","suppose,assume"
"suprimir","suppress,abolish,cancel (in mathematics),eliminate"
"surgir","surge,appear,spout,spurt"
"suspirar","sigh"
"tañer","pluck,play (a stringed musical instrument)"
"telefonear","telephone"
"telegrafiar","telegraph,cable","iar"
"temblar","tremble,quake,quiver,shake,shiver","e:ie"
"temer","fear,dread"
"tender","extend,offer,stretch,spread out,hang out(washing)","e:ie"
"tener","have","-e:ie_1sp,go,e:ie,e_and_o,e2d,imp_inf_stem_only","{""conjugation_stems"":{""past"":""tuv""}}"
"tentar","examine by touch,feel with fingers,attempt,try","e:ie"
"terminar","end,terminate,finish"
"tirar","pull,draw,pitch (a ball),shoot (a gun),throw,fling"
"tocar","play (music or musical instrument),touch"
"tomar","take,have (something to eat or drink)"
"tostar","toast,tan,roast (coffee)","o:ue"
"trabajar","work,labor"
"traducir","translate"
"traer","bring","go,e_and_o","{""conjugation_stems"":{""past"":""traj""}}"
"tratar","try,treat a subject"
